State,County,Life Expectancy,Population,% Rural,Premature Deaths,% Smoking,% Obesity,% Physical Inactivy,% Excessive Drinking,% Uninsured,PCP Number,PCP Rate,MHP Number,MHP Rate,Preventable Hospital Rate,% Mammogram,% Flu Vaccine,% Unemployed,Median Household Income
Alabama,Elmore,76.296089576,81209,42973,1217.0,19,35,25,15,10.0,21.0,26.0,18.0,22.0,5677.0,44.0,41.0,"2,6",62310
Alabama,Escambia,73.423349387,36633,24337,784.0,25,37,34,15,15.0,12.0,33.0,23.0,63.0,7234.0,34.0,37.0,"3,5",42712
Alabama,Etowah,73.325188249,102268,39144,2178.0,23,36,34,15,12.0,82.0,80.0,124.0,121.0,6934.0,28.0,38.0,"3,3",43047
Alabama,Fayette,74.532592582,16302,13833,327.0,24,38,30,15,12.0,17.0,103.0,2.0,12.0,4667.0,38.0,47.0,"3,1",44212
Alabama,Franklin,74.985226415,31362,22309,515.0,23,37,37,15,16.0,14.0,45.0,2.0,6.0,8158.0,34.0,40.0,"2,8",44874
Alabama,Geneva,73.65541147,26271,24015,556.0,25,41,41,15,14.0,8.0,30.0,6.0,23.0,5955.0,37.0,45.0,"2,9",43089
Alabama,Greene,74.879106209,8111,9045,187.0,27,38,24,10,12.0,4.0,49.0,1.0,12.0,6410.0,29.0,32.0,"5,6",28699
Alabama,Hale,72.798168604,14651,14053,322.0,24,45,32,12,11.0,3.0,20.0,2.0,14.0,6585.0,31.0,34.0,"3,9",40745
Alabama,Henry,76.015677453,17205,15183,335.0,23,35,29,15,14.0,5.0,29.0,3.0,17.0,4344.0,44.0,41.0,"3,6",48597
Alabama,Houston,76.136650079,105882,34327,1635.0,22,39,32,13,13.0,94.0,90.0,161.0,152.0,4703.0,42.0,44.0,"3,0",50138
Alabama,Jackson,73.967360113,51626,40994,1143.0,24,36,34,15,13.0,28.0,54.0,25.0,48.0,5480.0,44.0,44.0,"3,3",44322
Alabama,Jefferson,74.621732632,658573,64752,11347.0,18,35,29,17,11.0,717.0,109.0,1256.0,191.0,4558.0,42.0,47.0,"2,9",54127
Alabama,Lauderdale,76.604447514,92729,45701,1508.0,20,32,27,16,12.0,46.0,50.0,146.0,157.0,5141.0,40.0,51.0,"3,3",48188
Alabama,Lawrence,74.090221542,32924,31348,680.0,24,33,30,15,14.0,5.0,15.0,42.0,128.0,6273.0,38.0,40.0,"3,1",47797
Alabama,Lee,77.87780304,164542,38441,1815.0,19,31,20,17,11.0,84.0,51.0,154.0,94.0,4517.0,36.0,45.0,"2,7",54160
Alabama,Limestone,77.658847225,98915,47690,1305.0,20,33,26,16,11.0,35.0,36.0,52.0,53.0,5178.0,43.0,48.0,"2,6",64729
Alabama,Lowndes,71.15081129,9726,11299,247.0,26,44,33,11,12.0,1.0,10.0,309.07331166486097,172.59552184904297,6720.0,40.0,38.0,"5,7",33930
Alabama,Macon,72.837682838,18068,11916,432.0,23,51,33,11,12.0,7.0,38.0,75.0,415.0,5535.0,35.0,34.0,"4,3",34281
Alabama,Madison,77.702932008,372909,55048,4795.0,17,34,24,15,9.0,326.0,89.0,554.0,149.0,4610.0,47.0,47.0,"2,5",68609
Alabama,Marengo,72.314521374,18863,14575,422.0,23,45,33,13,11.0,9.0,47.0,7.0,37.0,4088.0,36.0,36.0,"3,5",38838
Alabama,Marion,74.547375931,29709,27346,653.0,24,38,33,15,13.0,10.0,34.0,5.0,17.0,7801.0,37.0,39.0,"3,4",44675
Alabama,Marshall,74.878237481,96774,49550,1712.0,23,37,37,15,14.0,55.0,57.0,251.0,259.0,5907.0,37.0,49.0,"2,5",48913
Alabama,Mobile,75.234643408,413210,82682,7269.0,21,38,29,17,13.0,274.0,66.0,414.0,100.0,6275.0,37.0,42.0,"3,7",49492
Alabama,Monroe,74.288955151,20733,18234,418.0,26,43,36,13,14.0,9.0,43.0,19.0,92.0,5179.0,40.0,36.0,"4,9",40005
Alabama,Montgomery,76.505525652,226486,24063,3294.0,20,37,29,13,12.0,230.0,102.0,364.0,161.0,5509.0,43.0,40.0,"3,1",52711
Alabama,Morgan,75.327488686,119679,46120,2028.0,21,36,27,14,13.0,62.0,52.0,176.0,147.0,6064.0,40.0,45.0,"2,6",54355
Alabama,Perry,72.336580041,8923,10591,196.0,27,47,36,11,12.0,3.0,33.0,4.0,45.0,7088.0,39.0,24.0,"5,2",29572
Alabama,Pickens,76.173656632,19930,19746,335.0,24,39,26,13,12.0,8.0,40.0,4.0,20.0,5829.0,44.0,46.0,"3,5",40249
Alabama,Pike,74.992272112,33114,17002,541.0,21,38,28,14,14.0,15.0,45.0,20.0,60.0,5134.0,40.0,39.0,"3,3",41271
Alabama,Randolph,73.559505359,22722,18638,476.0,23,34,34,14,13.0,5.0,22.0,5.0,22.0,4395.0,31.0,33.0,"3,0",42922
Alabama,Russell,73.741852181,57961,18748,1080.0,22,39,32,14,12.0,15.0,26.0,27.0,47.0,4479.0,37.0,42.0,"2,9",43670
Alabama,St. Clair,75.529693875,89512,60853,1492.0,21,37,30,15,12.0,15.0,17.0,22.0,25.0,5437.0,38.0,43.0,"2,7",65403
Alabama,Shelby,80.736773324,217702,44762,2243.0,15,38,24,18,8.0,177.0,82.0,182.0,84.0,4238.0,40.0,46.0,"2,2",77801
Alabama,Sumter,73.68055114,12427,13763,253.0,23,43,33,11,13.0,7.0,55.0,2.0,16.0,6414.0,52.0,31.0,"4,5",29209
Alabama,Talladega,73.321251996,79978,45931,1665.0,24,39,37,13,12.0,26.0,33.0,16.0,20.0,5776.0,34.0,36.0,"3,4",47719
Alabama,Tallapoosa,74.703383924,40367,30890,819.0,24,35,27,14,12.0,20.0,49.0,12.0,30.0,4173.0,38.0,47.0,"3,0",47100
Alabama,Tuscaloosa,76.66668322,209355,49653,2756.0,20,36,28,15,10.0,150.0,72.0,306.0,146.0,5624.0,44.0,46.0,"2,7",52307
Alabama,Walker,70.532204667,63521,49656,1656.0,25,39,32,14,13.0,26.0,41.0,31.0,49.0,6219.0,46.0,42.0,"3,3",45991
Alabama,Washington,75.655722391,16326,17581,292.0,24,32,34,14,14.0,2.0,12.0,5.0,31.0,4036.0,35.0,28.0,"4,6",48864
Alabama,Wilcox,70.808776123,10373,11670,267.0,26,50,35,11,11.0,3.0,28.0,1.0,10.0,5373.0,34.0,23.0,"7,1",30998
Alabama,Winston,74.934924658,23629,20785,503.0,25,36,36,16,15.0,10.0,42.0,3.0,13.0,11361.0,38.0,41.0,"3,3",40827
Alaska,Anchorage,79.305163375,288000,12015,3201.0,17,30,17,18,12.0,334.0,115.0,1403.0,487.0,2758.0,38.0,40.0,"5,1",82512
Alaska,Bethel,71.590551203,18386,12579,266.0,35,34,28,17,18.0,19.0,104.0,427.0,2322.0,5053.0,4.0,7.0,"12,9",48262
Alaska,Dillingham,71.850673555,4916,4847,79.0,30,31,26,19,19.0,13.0,260.0,39.0,793.0,3661.0,31.0,19.0,"8,1",57436
Alaska,Fairbanks North Star,80.468358864,96849,30124,917.0,17,31,18,19,12.0,81.0,82.0,613.0,633.0,2002.0,35.0,36.0,"5,4",74076
Alaska,Juneau,81.050335057,31974,6738,339.0,16,26,18,21,11.0,39.0,121.0,247.0,773.0,2330.0,38.0,46.0,"4,4",85419
Alaska,Ketchikan Gateway,80.060373998,13901,3125,170.0,20,39,20,19,16.0,15.0,108.0,53.0,381.0,3163.0,39.0,44.0,"6,2",75706
Alaska,Kodiak Island,81.127671047,12998,4257,120.0,19,28,25,19,20.0,15.0,112.0,50.0,385.0,2528.0,31.0,41.0,"5,6",79669
Alaska,Matanuska-Susitna,79.606321619,108317,44759,1150.0,20,35,20,19,15.0,53.0,49.0,213.0,197.0,2398.0,35.0,33.0,"6,9",75856
Alaska,Nome,70.49199159,10004,6270,157.0,34,40,20,18,18.0,10.0,100.0,91.0,910.0,6041.0,32.0,4.0,"10,9",58464
Alaska,Sitka,81.315176622,8493,1854,94.0,18,26,18,19,15.0,17.0,197.0,178.0,2096.0,4090.0,33.0,39.0,"4,2",80660
Alaska,Yukon-Koyukuk,71.981338992,5230,5588,100.0,33,31,25,19,22.0,1.0,19.0,6.0,115.0,1161.0,33.0,27.0,"14,0",42063
Arizona,Apache,73.099518695,71887,52967,1333.0,25,35,26,15,21.0,28.0,39.0,72.0,100.0,4878.0,24.0,36.0,"9,9",35386
Arizona,Cochise,78.728997605,125922,47680,1835.0,17,31,24,20,11.0,69.0,54.0,154.0,122.0,3261.0,36.0,33.0,"5,7",48650
Arizona,Coconino,79.120676202,143476,42297,1480.0,17,25,17,20,13.0,117.0,82.0,304.0,212.0,2392.0,31.0,39.0,"5,5",58301
Arizona,Gila,74.321028719,54018,22008,1124.0,23,31,27,20,15.0,21.0,39.0,38.0,70.0,3142.0,35.0,39.0,"5,5",45980
Arizona,Graham,77.709960944,38837,17284,458.0,20,34,23,19,12.0,20.0,53.0,16.0,41.0,2483.0,35.0,39.0,"4,8",50685
Arizona,Greenlee,81.003169378,9498,3929,105.0,17,30,19,19,7.0,5.0,53.0,1.0,11.0,2940.0,29.0,29.0,"3,9",68066
Arizona,La Paz,77.159997917,21108,11541,509.0,22,33,38,18,21.0,6.0,28.0,16.0,76.0,3547.0,27.0,30.0,"5,8",39407
Arizona,Maricopa,80.479625772,4485414,90229,43979.0,15,27,20,19,13.0,3046.0,69.0,6400.0,143.0,2935.0,41.0,48.0,"4,0",68634
Arizona,Mohave,76.01130638,212181,45970,4812.0,25,31,32,21,13.0,111.0,53.0,152.0,72.0,3749.0,39.0,39.0,"5,7",49712
Arizona,Navajo,73.868616659,110924,58171,1900.0,23,33,27,16,14.0,67.0,61.0,100.0,90.0,3104.0,31.0,39.0,"7,3",40676
Arizona,Pima,79.508356293,1047279,73750,12930.0,17,25,19,20,12.0,890.0,86.0,2010.0,192.0,2901.0,47.0,48.0,"4,4",56150
Arizona,Pinal,82.577098443,462789,82311,5039.0,19,34,28,19,12.0,73.0,16.0,338.0,73.0,2675.0,39.0,44.0,"4,9",62067
Arizona,Santa Cruz,83.085555066,46498,12748,387.0,16,30,18,17,17.0,22.0,47.0,16.0,34.0,2118.0,34.0,35.0,"8,5",47779
Arizona,Yavapai,78.973916516,235099,70057,3671.0,18,24,23,22,15.0,137.0,59.0,450.0,191.0,2210.0,42.0,43.0,"4,4",54242
Arizona,Yuma,82.945159621,213787,20416,2076.0,17,38,24,17,14.0,96.0,45.0,126.0,59.0,3210.0,35.0,39.0,"16,4",47024
Arkansas,Arkansas,74.240543443,17486,6601,341.0,25,35,39,15,9.0,9.0,51.0,19.0,109.0,4981.0,34.0,43.0,"3,0",52539
Arkansas,Ashley,75.020872845,19657,11294,404.0,26,42,45,16,10.0,8.0,40.0,15.0,76.0,6294.0,34.0,43.0,"5,4",47744
Arkansas,Baxter,77.042601504,41932,27333,821.0,24,31,30,18,9.0,31.0,74.0,116.0,277.0,5268.0,49.0,49.0,"4,0",41950
Arkansas,Benton,79.907808714,279141,55689,2661.0,19,31,23,19,10.0,164.0,60.0,640.0,229.0,3012.0,44.0,53.0,"2,6",70775
Arkansas,Boone,76.698365553,37432,22953,627.0,25,29,32,17,9.0,28.0,75.0,49.0,131.0,4058.0,40.0,46.0,"3,2",50083
Arkansas,Bradley,72.968701168,10763,5707,214.0,25,31,37,15,11.0,6.0,55.0,3.0,28.0,4926.0,31.0,52.0,"4,1",39982
Arkansas,Calhoun,73.006710551,5189,5368,134.0,26,26,40,16,8.0,1.0,19.0,309.07331166486097,172.59552184904297,2316.0,35.0,34.0,"4,4",48415
Arkansas,Carroll,76.602019686,28380,19990,520.0,22,30,34,17,13.0,15.0,53.0,23.0,81.0,2799.0,36.0,46.0,"3,1",43841
Arkansas,Chicot,72.717985278,10118,6405,229.0,26,41,35,14,9.0,11.0,105.0,60.0,593.0,8130.0,37.0,28.0,"6,9",37014
Arkansas,Clark,76.357827799,22320,12504,324.0,21,26,39,15,9.0,10.0,45.0,62.0,278.0,3367.0,38.0,48.0,"3,8",44105
Arkansas,Clay,72.845085098,14551,9466,327.0,28,37,35,17,10.0,1.0,7.0,12.0,82.0,3908.0,33.0,33.0,"4,9",40686
Arkansas,Cleburne,75.674856624,24919,19613,495.0,25,34,33,18,9.0,15.0,60.0,28.0,112.0,3801.0,40.0,46.0,"4,5",46214
Arkansas,Columbia,75.450612527,23457,14114,390.0,25,44,37,14,10.0,14.0,59.0,44.0,188.0,4816.0,37.0,48.0,"4,5",42964
Arkansas,Conway,74.844756795,20846,15001,397.0,25,40,34,17,8.0,14.0,67.0,56.0,269.0,3886.0,30.0,31.0,"4,3",46924
Arkansas,Craighead,76.986212477,110332,31024,1397.0,22,39,33,15,9.0,125.0,115.0,415.0,376.0,5659.0,44.0,53.0,"2,8",47766
Arkansas,Crawford,77.029081903,63257,32189,960.0,24,39,29,16,10.0,25.0,39.0,30.0,47.0,4683.0,38.0,47.0,"3,3",44600
Arkansas,Crittenden,72.813195627,47955,10632,936.0,24,37,39,13,8.0,15.0,31.0,108.0,225.0,4326.0,39.0,41.0,"4,2",41976
Arkansas,Cross,72.8358131,16419,10148,367.0,26,42,37,16,9.0,6.0,36.0,16.0,97.0,7648.0,27.0,44.0,"4,2",45273
Arkansas,Dallas,75.436819476,7009,4272,168.0,25,40,47,15,8.0,1.0,14.0,20.0,285.0,5325.0,33.0,36.0,"4,7",41314
Arkansas,Desha,72.829084512,11361,4087,252.0,28,48,35,13,10.0,5.0,43.0,7.0,62.0,9375.0,30.0,41.0,"4,5",37005
Arkansas,Drew,75.367946669,18219,8997,296.0,24,35,32,15,8.0,12.0,65.0,114.0,626.0,7770.0,29.0,45.0,"5,2",44162
Arkansas,Faulkner,76.670167275,126007,43891,1579.0,21,37,27,17,8.0,67.0,54.0,190.0,151.0,4169.0,37.0,50.0,"3,0",58482
Arkansas,Franklin,74.94456805,17715,14972,320.0,27,42,33,16,10.0,5.0,28.0,1.0,6.0,3937.0,36.0,48.0,"3,4",45670
Arkansas,Fulton,74.152547283,12477,11378,271.0,28,32,33,16,9.0,7.0,57.0,6.0,48.0,6539.0,39.0,40.0,"4,0",32926
Arkansas,Garland,75.048355012,99386,35436,1964.0,23,29,29,17,10.0,86.0,87.0,271.0,273.0,4582.0,39.0,56.0,"3,7",45786
Arkansas,Grant,76.643220314,18265,13395,287.0,23,34,38,18,7.0,2.0,11.0,19.0,104.0,5009.0,37.0,56.0,"3,2",58566
Arkansas,Greene,74.711333592,45325,17470,790.0,25,38,35,17,7.0,25.0,55.0,91.0,201.0,6972.0,41.0,50.0,"3,5",47098
Arkansas,Hempstead,75.858747677,21532,12609,388.0,25,32,32,14,11.0,5.0,23.0,21.0,98.0,5675.0,38.0,41.0,"3,8",40867
Arkansas,Hot Spring,73.981931414,33771,21719,663.0,25,35,31,17,8.0,7.0,21.0,66.0,195.0,4879.0,34.0,56.0,"3,6",45860
Arkansas,Howard,73.586282316,13202,9310,256.0,25,43,42,15,12.0,7.0,52.0,13.0,98.0,4836.0,33.0,46.0,"3,3",41427
Arkansas,Independence,76.974553722,37825,25134,560.0,25,30,33,16,9.0,29.0,77.0,70.0,185.0,4943.0,34.0,51.0,"4,0",47903
Arkansas,Izard,74.381098245,13629,13696,284.0,25,32,29,17,11.0,4.0,29.0,8.0,59.0,6524.0,31.0,38.0,"5,5",40233
Arkansas,Jackson,73.743908542,16719,11709,340.0,28,39,27,15,9.0,7.0,42.0,14.0,84.0,7089.0,34.0,53.0,"6,5",38636
Arkansas,Jefferson,73.476415223,66824,23940,1399.0,25,43,33,13,8.0,42.0,62.0,153.0,229.0,5715.0,35.0,42.0,"5,5",40555
Arkansas,Johnson,75.885901231,26578,18227,432.0,26,40,31,15,13.0,14.0,52.0,71.0,267.0,4388.0,32.0,49.0,"4,6",40396
Arkansas,Lafayette,76.016871185,6624,7645,154.0,25,46,32,14,11.0,2.0,30.0,4.0,60.0,4294.0,34.0,30.0,"4,7",37164
Arkansas,Lawrence,73.919188793,16406,11069,339.0,26,38,27,17,8.0,5.0,30.0,32.0,195.0,6543.0,33.0,29.0,"4,2",39604
Arkansas,Lee,74.585202584,8857,6620,197.0,29,41,32,14,9.0,1.0,11.0,1.0,11.0,7185.0,35.0,35.0,"4,5",30421
Arkansas,Lincoln,74.413448518,13024,14134,235.0,27,45,37,16,10.0,1.0,7.0,20.0,154.0,7489.0,34.0,45.0,"4,4",44272
Arkansas,Little River,74.697819562,12259,9025,256.0,24,34,35,15,9.0,3.0,24.0,2.0,16.0,5488.0,42.0,49.0,"4,3",43257
Arkansas,Logan,74.083141524,21466,15875,442.0,26,30,37,16,9.0,4.0,18.0,4.0,19.0,4692.0,34.0,33.0,"4,3",42249
Arkansas,Lonoke,75.354414788,73309,30632,1075.0,22,41,31,18,8.0,14.0,19.0,43.0,59.0,4482.0,36.0,52.0,"3,2",62782
Arkansas,Madison,74.273776712,16576,15717,294.0,26,31,30,17,13.0,4.0,24.0,25.0,151.0,4153.0,33.0,43.0,"2,5",48016
Arkansas,Marion,74.823718074,16694,16653,400.0,26,27,30,18,10.0,2.0,12.0,2.0,12.0,4589.0,41.0,37.0,"4,0",38760
Arkansas,Miller,74.225423323,43257,17390,870.0,25,39,32,16,9.0,31.0,71.0,109.0,252.0,5572.0,38.0,46.0,"4,1",50905
Arkansas,Mississippi,71.2615432,40651,16857,955.0,27,43,36,14,8.0,18.0,44.0,49.0,121.0,7728.0,34.0,45.0,"5,1",39990
Arkansas,Monroe,69.712170194,6701,5621,197.0,28,44,33,14,9.0,3.0,43.0,1.0,15.0,4403.0,32.0,27.0,"4,3",34289
Arkansas,Montgomery,77.540870322,8986,9487,162.0,27,24,27,18,13.0,2.0,22.0,2.0,22.0,4099.0,27.0,31.0,"4,6",39591
Arkansas,Nevada,75.642356981,8252,6224,170.0,25,43,46,15,8.0,3.0,36.0,7.0,85.0,5053.0,36.0,40.0,"4,0",36528
Arkansas,Ouachita,73.615186707,23382,14719,544.0,25,41,34,14,8.0,12.0,51.0,40.0,171.0,4486.0,33.0,50.0,"5,2",46393
Arkansas,Perry,76.055869307,10455,10445,182.0,25,36,30,17,8.0,2.0,19.0,309.07331166486097,172.59552184904297,4390.0,34.0,47.0,"4,1",50560
Arkansas,Phillips,71.138756446,17782,10436,403.0,27,45,36,12,8.0,10.0,55.0,11.0,62.0,7190.0,30.0,26.0,"6,0",31521
Arkansas,Pike,75.915468652,10718,11291,201.0,25,29,32,16,13.0,3.0,28.0,3.0,28.0,5705.0,27.0,33.0,"3,9",44426
Arkansas,Poinsett,71.40278531,23528,17488,582.0,28,41,33,16,9.0,4.0,17.0,67.0,285.0,6855.0,40.0,46.0,"3,4",40536
Arkansas,Polk,75.512724714,19964,15163,385.0,25,36,30,16,12.0,15.0,75.0,18.0,90.0,4610.0,28.0,36.0,"4,2",39722
Arkansas,Pope,77.311019378,64072,33652,897.0,23,35,29,16,11.0,40.0,63.0,146.0,228.0,4864.0,35.0,48.0,"4,3",47519
Arkansas,Prairie,77.042587251,8062,8715,168.0,25,36,50,17,10.0,1.0,12.0,2.0,25.0,5202.0,37.0,33.0,"4,4",46205
Arkansas,Pulaski,76.304808987,391911,46989,5892.0,19,34,27,18,8.0,469.0,119.0,1756.0,448.0,4072.0,39.0,53.0,"3,4",52684
Arkansas,Randolph,73.937065433,17958,12115,347.0,27,33,37,16,10.0,11.0,61.0,15.0,84.0,5743.0,33.0,45.0,"3,9",42875
Arkansas,St. Francis,75.201517158,24994,14568,464.0,27,48,31,16,9.0,12.0,47.0,83.0,332.0,5218.0,39.0,42.0,"5,2",34389
Arkansas,Saline,77.323287883,122437,38734,1740.0,20,30,26,17,7.0,56.0,46.0,166.0,136.0,4637.0,34.0,55.0,"2,8",66944
Arkansas,Scott,74.98565203,10281,7903,200.0,28,38,38,15,12.0,2.0,19.0,3.0,29.0,4796.0,32.0,41.0,"3,4",38065
Arkansas,Searcy,75.902017603,7881,8195,153.0,28,25,30,16,10.0,2.0,25.0,17.0,216.0,4848.0,42.0,21.0,"4,6",34712
Arkansas,Sebastian,76.224024169,127827,26170,2015.0,24,35,31,14,13.0,162.0,127.0,459.0,359.0,4654.0,42.0,49.0,"3,3",48945
Arkansas,Sevier,76.542936883,17007,10849,240.0,25,33,36,15,17.0,8.0,47.0,9.0,53.0,4804.0,37.0,51.0,"4,8",43493
Arkansas,Sharp,74.840214739,17442,13821,387.0,29,41,39,16,11.0,4.0,23.0,37.0,212.0,4942.0,33.0,38.0,"5,0",37591
Arkansas,Stone,76.58291232,12506,12394,236.0,28,41,35,16,13.0,6.0,48.0,13.0,104.0,5178.0,30.0,51.0,"4,7",36930
Arkansas,Union,72.712737482,38682,22695,824.0,23,35,38,16,9.0,23.0,59.0,71.0,184.0,4262.0,33.0,46.0,"5,2",46602
Arkansas,Van Buren,75.856502339,16545,17295,321.0,26,37,28,17,10.0,4.0,24.0,16.0,97.0,3600.0,40.0,36.0,"5,0",38096
Arkansas,Washington,78.277980281,239187,51771,2441.0,21,32,26,18,12.0,183.0,77.0,905.0,378.0,3525.0,42.0,51.0,"2,4",52158
Arkansas,White,75.804552504,78753,41866,1227.0,24,33,35,17,10.0,41.0,52.0,153.0,194.0,5912.0,33.0,51.0,"4,5",46388
Arkansas,Woodruff,73.028440932,6320,7260,158.0,27,33,38,15,9.0,3.0,46.0,4.0,63.0,6396.0,34.0,28.0,"5,3",36568
Arkansas,Yell,74.896342979,21341,17554,409.0,25,37,36,16,12.0,11.0,51.0,5.0,23.0,8194.0,30.0,38.0,"4,0",44469
California,Alameda,83.076697263,1671329,5869,12711.0,11,22,15,18,5.0,1835.0,110.0,10826.0,648.0,3023.0,37.0,46.0,"2,9",107589
California,Amador,80.480824812,39752,23016,537.0,16,30,24,25,6.0,25.0,63.0,96.0,241.0,2802.0,42.0,47.0,"3,8",62640
California,Butte,77.918689419,219186,41584,3164.0,17,30,23,22,8.0,140.0,61.0,1571.0,717.0,4748.0,40.0,40.0,"5,1",58394
California,Calaveras,79.586577113,45905,34370,720.0,16,28,27,23,7.0,19.0,42.0,76.0,166.0,2536.0,42.0,42.0,"3,8",68248
California,Colusa,79.861198843,21547,6795,234.0,16,39,26,20,12.0,6.0,28.0,36.0,167.0,4095.0,33.0,45.0,"12,8",59048
California,Contra Costa,82.511618398,1153526,8316,9449.0,11,25,16,18,6.0,1190.0,103.0,4044.0,351.0,3222.0,40.0,48.0,"3,1",106555
California,Del Norte,76.445154574,27812,9634,515.0,19,34,33,21,7.0,17.0,61.0,119.0,428.0,2997.0,29.0,38.0,"5,7",48979
California,El Dorado,82.322915574,192843,62827,1932.0,13,26,18,24,6.0,150.0,79.0,667.0,346.0,3131.0,41.0,48.0,"3,5",86202
California,Fresno,78.886867336,999101,100537,10244.0,16,33,23,19,9.0,666.0,67.0,3736.0,374.0,3839.0,38.0,44.0,"7,2",56926
California,Glenn,77.787796822,28393,11494,343.0,17,34,21,20,12.0,4.0,14.0,31.0,109.0,5079.0,36.0,35.0,"6,1",55682
California,Humboldt,77.131811707,135558,40062,2064.0,17,25,16,20,8.0,87.0,64.0,655.0,483.0,2961.0,28.0,40.0,"3,6",51134
California,Imperial,81.937947169,181215,30399,1626.0,16,33,27,19,8.0,45.0,25.0,276.0,152.0,3614.0,32.0,32.0,"18,3",48102
California,Inyo,78.899094622,18039,8611,274.0,15,27,27,23,8.0,20.0,111.0,84.0,466.0,2118.0,33.0,39.0,"3,5",59605
California,Kern,77.483113967,900202,85693,10370.0,17,31,25,19,9.0,439.0,49.0,1823.0,203.0,4466.0,34.0,40.0,"7,7",53245
California,Kings,79.693967376,152940,16601,1421.0,17,34,24,19,8.0,56.0,37.0,314.0,205.0,4114.0,32.0,37.0,"7,9",57297
California,Lake,74.611127711,64386,21408,1458.0,18,22,23,21,9.0,28.0,43.0,236.0,367.0,3652.0,30.0,30.0,"5,0",46897
California,Lassen,78.964863884,30573,24610,379.0,18,33,34,23,5.0,9.0,29.0,93.0,304.0,3561.0,32.0,33.0,"4,6",53613
